wu,wr,wd,wl,au,ar,ad,al,aur,adr,aul,adl,dis,direction
300,300,300,300,1,0,0,0,,,,,309.6837096135346,3
292,308,308,292,1,0,0,0,,,,,298.52973051272465,3
284,316,316,284,1,0,0,0,,,,,287.3882391469769,3
276,324,324,276,1,0,0,0,,,,,276.2607463973121,3
268,332,332,268,1,0,0,0,,,,,265.1490147068248,3
260,340,340,260,1,0,0,0,,,,,254.05511213120667,3
252,348,348,252,1,0,0,0,,,,,242.98148077579904,3
244,356,356,244,1,0,0,0,,,,,231.93102422918759,3
236,364,364,236,1,0,0,0,,,,,220.90722034374522,3
228,372,372,228,1,0,0,0,,,,,209.91426821443082,3
220,380,380,220,1,0,0,0,,,,,198.9572818471342,3
212,388,388,212,1,0,0,0,,,,,188.04254837669055,3
204,396,396,204,1,0,0,0,,,,,177.17787672280082,3
196,404,404,196,1,0,0,0,,,,,166.37307474468338,3
188,412,412,188,1,0,0,0,,,,,155.64061166674975,3
180,420,420,180,1,0,0,0,,,,,144.99655168313487,3
172,428,428,172,1,0,0,0,,,,,134.46189051177288,3
164,436,436,164,1,0,0,0,,,,,124.06449935416659,3
156,444,444,156,1,0,0,0,,,,,113.84199576606166,3
148,452,452,148,1,0,0,0,,,,,103.84603988597736,3
140,460,460,140,1,0,0,0,,,,,94.14881836751856,3
132,468,468,132,1,0,0,0,,,,,84.8528137423857,3
124,476,476,124,1,0,0,0,,,,,76.10519036176179,3
116,484,484,116,1,0,0,0,,,,,68.11754546370561,3
108,484,492,116,1,0,0,0,,,,,60.13318551349163,3
100,484,500,116,1,0,0,0,,,,,52.15361924162119,3
92,484,508,116,1,0,0,0,,,,,44.181444068749045,3
84,484,516,116,1,0,0,0,,,,,36.22154055254967,3
76,484,524,116,0,0,1,0,,,,,147.18695594379278,2
84,492,516,108,0,0,1,0,,,,,135.88230201170424,2
92,500,508,100,0,0,1,0,,,,,124.57929201917949,2
100,508,500,92,0,0,1,0,,,,,113.27841806805037,2
108,516,492,84,0,0,1,0,,,,,101.9803902718557,2
116,524,484,76,0,0,1,0,,,,,90.68627239003708,2
124,532,476,68,0,0,1,0,,,,,79.39773296511683,2
132,540,468,60,0,0,1,0,,,,,68.11754546370561,2
140,548,460,52,0,0,1,0,,,,,56.85068161420758,2
148,556,452,44,0,0,1,0,,,,,45.60701700396552,2
156,564,444,36,0,0,1,0,,,,,486.78537365044156,2
164,556,436,44,0,0,1,0,,,,,475.47870614781476,2
172,548,428,52,0,0,1,0,,,,,464.1723817721171,2
180,540,420,60,0,0,1,0,,,,,452.86642622300894,2
188,532,412,68,0,0,1,0,,,,,441.56086783137835,2
196,524,404,76,0,0,1,0,,,,,430.2557379047954,2
204,516,396,84,0,0,1,0,,,,,418.9510711288372,2
212,508,388,92,0,0,1,0,,,,,407.6469060351127,2
220,500,380,100,0,0,1,0,,,,,396.34328554928237,2
228,492,372,108,0,0,1,0,,,,,385.0402576354841,2
236,484,364,116,0,0,1,0,,,,,373.7378760575385,2
244,476,356,124,0,0,1,0,,,,,362.4362012823774,2
252,468,348,132,0,0,1,0,,,,,351.1353015576759,2
260,460,340,140,0,0,1,0,,,,,339.8352542041511,2
268,452,332,148,0,0,1,0,,,,,328.5361471740971,2
276,444,324,156,0,0,1,0,,,,,317.23808094237364,2
284,436,316,164,0,0,1,0,,,,,305.9411708155671,2
292,428,308,172,0,0,1,0,,,,,294.64554977124635,2
300,420,300,180,0,0,1,0,,,,,283.3513719747974,2
308,412,292,188,0,0,1,0,,,,,272.05881717011124,2
316,404,284,196,0,0,1,0,,,,,260.76809620810593,2
324,396,276,204,0,0,1,0,,,,,249.47945807220282,2
332,388,268,212,0,0,1,0,,,,,238.1931988953505,2
340,380,260,220,0,0,1,0,,,,,226.90967365892536,2
348,372,252,228,0,0,1,0,,,,,215.62931155109686,2
356,364,244,236,0,0,1,0,,,,,204.35263639111682,2
364,356,236,244,0,0,1,0,,,,,193.08029417835473,2
372,348,228,252,0,0,1,0,,,,,181.8130908378162,2
380,340,220,260,0,0,1,0,,,,,170.55204484262273,2
388,332,212,268,0,0,1,0,,,,,159.29846201391902,2
396,324,204,276,0,0,1,0,,,,,148.05404418657398,2
404,316,196,284,0,0,1,0,,,,,136.82105101189657,2
412,308,188,292,0,0,1,0,,,,,125.60254774486066,2
420,300,180,300,0,0,1,0,,,,,114.40279716860073,2
428,292,172,308,0,0,1,0,,,,,103.22790320451152,2
436,284,164,316,0,0,1,0,,,,,92.0869154657707,2
444,276,156,324,0,0,1,0,,,,,80.99382692526635,2
452,268,148,332,0,0,1,0,,,,,69.9714227381436,2
460,260,140,340,0,0,1,0,,,,,59.0592922409336,2
468,252,132,348,0,0,1,0,,,,,48.33218389437829,2
476,244,124,356,0,0,1,0,,,,,37.94733192202055,2
484,236,116,364,1,0,0,0,,,,,74.4043009509531,0
476,228,124,372,1,0,0,0,,,,,63.245553203367585,0
468,220,132,380,1,0,0,0,,,,,52.15361924162119,0
460,212,140,388,1,0,0,0,,,,,41.182520563948,0
452,204,148,396,0,0,1,0,,,,,34.40930106817051,2
460,212,140,388,1,0,0,0,,,,,197.9898987322333,3
452,220,148,380,1,0,0,0,,,,,186.67619023324855,3
444,228,156,372,1,0,0,0,,,,,175.36248173426378,3
436,236,164,364,1,0,0,0,,,,,164.04877323527901,3
428,244,172,356,1,0,0,0,,,,,152.73506473629428,3
420,252,180,348,1,0,0,0,,,,,141.4213562373095,3
412,260,188,340,1,0,0,0,,,,,130.10764773832474,3
404,268,196,332,1,0,0,0,,,,,118.79393923933998,3
396,276,204,324,1,0,0,0,,,,,107.48023074035522,3
388,284,212,316,1,0,0,0,,,,,96.16652224137046,3
380,292,220,308,1,0,0,0,,,,,84.8528137423857,3
372,300,228,300,1,0,0,0,,,,,73.53910524340094,3
364,308,236,292,1,0,0,0,,,,,62.22539674441618,3
356,316,244,284,1,0,0,0,,,,,50.91168824543142,3
348,324,252,276,1,0,0,0,,,,,39.59797974644666,3
340,332,260,268,1,0,0,0,,,,,238.72997298202839,3
332,340,268,260,1,0,0,0,,,,,229.71286424577968,3
324,348,276,252,1,0,0,0,,,,,220.90722034374522,3
316,356,284,244,1,0,0,0,,,,,212.33935103979195,3
