wu,wr,wd,wl,au,ar,ad,al,bu,br,bd,bl,dis,direction
300,300,300,300,1,0,0,0,,,,,314.1973901864877,0
292,292,308,308,1,0,0,0,,,,,303.2094985319556,0
284,284,316,316,1,0,0,0,,,,,292.24647132172527,0
276,276,324,324,1,0,0,0,,,,,281.31121556027585,0
268,268,332,332,1,0,0,0,,,,,270.4071004984891,0
260,260,340,340,1,0,0,0,,,,,259.53805116013336,0
252,252,348,348,1,0,0,0,,,,,248.70866490735702,0
244,244,356,356,1,0,0,0,,,,,237.92435772740882,0
236,236,364,364,1,0,0,0,,,,,227.19154913860683,0
228,228,372,372,1,0,0,0,,,,,216.51789764358972,0
220,220,380,380,1,0,0,0,,,,,205.91260281974002,0
212,212,388,388,1,0,0,0,,,,,195.386795869117,0
204,204,396,396,1,0,0,0,,,,,184.95404834715026,0
196,196,404,404,1,0,0,0,,,,,174.63103962354458,0
188,188,412,412,1,0,0,0,,,,,164.43843832875572,0
180,180,420,420,1,0,0,0,,,,,154.40207252495026,0
172,172,428,428,1,0,0,0,,,,,144.55448799674122,0
164,164,436,436,1,0,0,0,,,,,134.937022347464,0
156,156,444,444,1,0,0,0,,,,,125.60254774486066,0
148,148,452,452,1,0,0,0,,,,,116.61903789690601,0
140,140,460,460,1,0,0,0,,,,,108.07404868885037,3
132,140,468,460,1,0,0,0,,,,,100.07996802557443,3
124,140,476,460,1,0,0,0,,,,,92.0869154657707,3
116,140,484,460,1,0,0,0,,,,,84.09518416651456,3
108,140,492,460,1,0,0,0,,,,,76.10519036176179,3
100,140,500,460,1,0,0,0,,,,,68.11754546370561,3
92,140,508,460,1,0,0,0,,,,,60.13318551349163,3
84,140,516,460,1,0,0,0,,,,,52.15361924162119,3
76,140,524,460,1,0,0,0,,,,,44.181444068749045,3
68,140,532,460,1,0,0,0,,,,,36.22154055254967,3
60,140,540,460,0,0,1,0,,,,,513.7781622451464,2
68,148,532,452,0,0,1,0,,,,,503.20572333788095,2
76,156,524,444,0,0,1,0,,,,,492.6662156064692,2
84,164,516,436,0,0,1,0,,,,,482.1617985697332,2
92,172,508,428,0,0,1,0,,,,,471.69481659225386,2
100,180,500,420,0,0,1,0,,,,,461.2678180840281,2
108,188,492,412,0,0,1,0,,,,,450.8835769907793,2
116,196,484,404,0,0,1,0,,,,,440.54511687226767,2
124,204,476,396,0,0,1,0,,,,,430.2557379047954,2
132,212,468,388,0,0,1,0,,,,,420.01904718714843,2
140,220,460,380,0,0,1,0,,,,,409.83899277643167,2
148,228,452,372,0,0,1,0,,,,,399.7199019313399,2
156,236,444,364,0,0,1,0,,,,,389.6665240946417,2
164,244,436,356,0,0,1,0,,,,,379.68407920269715,2
172,252,428,348,0,0,1,0,,,,,369.7783119654261,2
180,260,420,340,0,0,1,0,,,,,359.95555281173256,2
188,268,412,332,0,0,1,0,,,,,350.2227862375605,2
196,276,404,324,0,0,1,0,,,,,340.58772731852804,2
204,284,396,316,0,0,1,0,,,,,331.058907144937,2
212,292,388,308,0,0,1,0,,,,,321.645767887594,2
220,300,380,300,0,0,1,0,,,,,312.3587680856742,2
228,308,372,292,0,0,1,0,,,,,303.2094985319556,2
236,316,364,284,0,0,1,0,,,,,294.2108087749327,2
244,324,356,276,0,0,1,0,,,,,285.3769437077915,2
252,332,348,268,0,0,1,0,,,,,276.72368890284764,2
260,340,340,260,0,0,1,0,,,,,268.26852219371546,2
268,348,332,252,0,0,1,0,,,,,260.0307674103201,2
276,356,324,244,0,0,1,0,,,,,252.03174403237384,2
284,356,316,244,0,0,1,0,1.0,0.0,0.0,0.0,244.0327846827143,2
292,356,308,244,0,0,1,0,1.0,0.0,0.0,0.0,236.03389587091087,2
300,356,300,244,0,0,1,0,1.0,0.0,0.0,0.0,228.0350850198276,2
308,356,292,244,0,0,1,0,1.0,0.0,0.0,0.0,220.03636063160107,2
316,356,284,244,0,0,1,0,1.0,0.0,0.0,0.0,212.03773249117714,2
324,356,276,244,0,0,1,0,1.0,0.0,0.0,0.0,204.0392119177096,2
332,356,268,244,0,0,1,0,1.0,0.0,0.0,0.0,196.04081207748553,2
340,356,260,244,0,0,1,0,1.0,0.0,0.0,0.0,188.04254837669055,2
348,356,252,244,0,0,1,0,1.0,0.0,0.0,0.0,180.0444389588304,2
356,356,244,244,0,0,1,0,1.0,0.0,0.0,0.0,172.04650534085255,2
364,356,236,244,0,0,1,0,1.0,0.0,0.0,0.0,164.04877323527901,2
372,356,228,244,0,0,1,0,1.0,0.0,0.0,0.0,156.05127362504928,2
380,356,220,244,0,0,1,0,1.0,0.0,0.0,0.0,148.05404418657398,2
388,356,212,244,0,0,1,0,1.0,0.0,0.0,0.0,140.05713120009278,2
396,356,204,244,0,0,1,0,1.0,0.0,0.0,0.0,132.06059215375342,2
404,356,196,244,0,0,1,0,1.0,0.0,0.0,0.0,124.06449935416659,2
412,356,188,244,0,0,1,0,1.0,0.0,0.0,0.0,116.06894502837527,2
420,356,180,244,0,0,1,0,1.0,0.0,0.0,0.0,108.07404868885037,2
428,356,172,244,0,0,1,0,1.0,0.0,0.0,0.0,100.07996802557443,2
436,356,164,244,0,0,1,0,1.0,0.0,0.0,0.0,92.0869154657707,2
444,356,156,244,0,0,1,0,1.0,0.0,0.0,0.0,84.09518416651456,2
452,356,148,244,0,0,1,0,1.0,0.0,0.0,0.0,76.10519036176179,2
460,356,140,244,0,0,1,0,1.0,0.0,0.0,0.0,68.11754546370561,2
468,356,132,244,0,0,1,0,1.0,0.0,0.0,0.0,60.13318551349163,2
476,356,124,244,0,0,1,0,1.0,0.0,0.0,0.0,52.15361924162119,2
484,356,116,244,0,0,1,0,1.0,0.0,0.0,0.0,44.181444068749045,2
492,356,108,244,0,0,1,0,1.0,0.0,0.0,0.0,36.22154055254967,2
500,356,100,244,1,0,0,0,1.0,0.0,0.0,0.0,529.1200241911092,0
492,348,108,252,1,0,0,0,0.0,0.0,0.0,1.0,517.8725711987457,0
484,340,116,260,1,0,0,0,,,,,506.62806870523866,0
476,332,124,268,1,0,0,0,,,,,495.3867176257353,0
468,324,132,276,1,0,0,0,,,,,484.1487374764082,0
460,316,140,284,1,0,0,0,,,,,472.9143685700404,0
452,308,148,292,1,0,0,0,,,,,461.6838745288815,0
444,300,156,300,1,0,0,0,,,,,450.45754516935335,0
436,292,164,308,1,0,0,0,,,,,439.2356998241377,0
428,284,172,316,1,0,0,0,,,,,428.01869118065395,0
420,276,180,324,1,0,0,0,,,,,416.8069097315926,0
412,268,188,332,1,0,0,0,,,,,405.6007889538678,0
404,260,196,340,1,0,0,0,,,,,394.4008113581918,0
396,252,204,348,1,0,0,0,,,,,383.20751558391964,0
388,244,212,356,1,0,0,0,,,,,372.0215047547655,0
380,236,220,364,1,0,0,0,,,,,360.84345636300515,0
372,228,228,372,1,0,0,0,,,,,349.67413401622946,0
364,220,236,380,1,0,0,0,,,,,338.514401466171,0
356,212,244,388,1,0,0,0,,,,,327.365239449762,0
348,204,252,396,1,0,0,0,,,,,316.22776601683796,0
340,196,260,404,1,0,0,0,,,,,305.1032612083981,0
332,188,268,412,1,0,0,0,,,,,293.99319720020736,0
324,180,276,420,1,0,0,0,,,,,282.8992753613908,0
316,172,284,428,1,0,0,0,,,,,271.8234721285121,0
308,164,292,436,1,0,0,0,,,,,260.76809620810593,0
300,156,300,444,1,0,0,0,,,,,249.73586046060746,0
292,148,308,452,1,0,0,0,,,,,238.72997298202839,0
284,140,316,460,1,0,0,0,,,,,227.75425352778814,0
276,132,324,468,1,0,0,0,,,,,216.81328372588243,0
268,124,332,476,1,0,0,0,,,,,205.91260281974002,0
260,116,340,484,1,0,0,0,,,,,195.05896544378575,0
252,108,348,492,1,0,0,0,,,,,184.26068490049633,0
244,100,356,500,1,0,0,0,,,,,173.5280957078709,0
236,92,364,508,1,0,0,0,,,,,162.87418457201866,0
228,84,372,516,1,0,0,0,,,,,152.31546211727817,0
220,76,380,524,1,0,0,0,,,,,141.8731828077456,0
212,68,388,532,1,0,0,0,,,,,131.5750736271882,0
204,60,396,540,1,0,0,0,,,,,121.45781160551181,0
196,52,404,548,1,0,0,0,,,,,111.57060544785082,0
188,44,412,556,1,0,0,0,,,,,101.9803902718557,0
180,36,420,564,1,0,0,0,,,,,92.77930803794561,0
172,28,428,572,1,0,0,0,,,,,84.09518416651456,3
164,28,436,572,1,0,0,0,0.0,0.0,1.0,0.0,76.10519036176179,3
156,28,444,572,1,0,0,0,0.0,0.0,1.0,0.0,68.11754546370561,3
148,28,452,572,1,0,0,0,0.0,0.0,1.0,0.0,60.13318551349163,3
140,28,460,572,1,0,0,0,0.0,0.0,1.0,0.0,52.15361924162119,3
132,28,468,572,1,0,0,0,0.0,0.0,1.0,0.0,44.181444068749045,3
124,28,476,572,1,0,0,0,0.0,0.0,1.0,0.0,36.22154055254967,3
116,28,484,572,0,0,1,0,0.0,0.0,1.0,0.0,192.4162155328911,2
124,36,476,564,0,0,1,0,0.0,1.0,0.0,0.0,181.10770276274835,2
132,44,468,556,0,0,1,0,,,,,169.799882214329,2
140,52,460,548,0,0,1,0,,,,,158.4929020492716,2
148,60,452,540,0,0,1,0,,,,,147.18695594379278,2
156,68,444,532,0,0,1,0,,,,,135.88230201170424,2
164,76,436,524,0,0,1,0,,,,,124.57929201917949,2
172,84,428,516,0,0,1,0,,,,,113.27841806805037,2
180,92,420,508,0,0,1,0,,,,,101.9803902718557,2
188,100,412,500,0,0,1,0,,,,,90.68627239003708,2
196,108,404,492,0,0,1,0,,,,,79.39773296511683,2
204,116,396,484,0,0,1,0,,,,,68.11754546370561,2
212,124,388,476,0,0,1,0,,,,,56.85068161420758,2
220,132,380,468,0,0,1,0,,,,,45.60701700396552,2
228,140,372,460,0,0,1,0,,,,,166.37307474468338,2
236,148,364,452,0,0,1,0,,,,,157.2768260107,2
244,156,356,444,0,0,1,0,,,,,148.48568954616468,2
252,164,348,436,0,0,1,0,,,,,140.05713120009278,2
260,172,340,428,1,0,0,0,,,,,132.06059215375342,2
260,180,340,420,1,0,0,0,0.0,1.0,0.0,0.0,124.06449935416659,2
260,188,340,412,1,0,0,0,0.0,1.0,0.0,0.0,116.06894502837527,2
260,196,340,404,1,0,0,0,0.0,1.0,0.0,0.0,108.07404868885037,2
260,204,340,396,1,0,0,0,0.0,1.0,0.0,0.0,100.07996802557443,2
260,212,340,388,1,0,0,0,0.0,1.0,0.0,0.0,92.0869154657707,2
260,220,340,380,1,0,0,0,0.0,1.0,0.0,0.0,84.09518416651456,2
260,228,340,372,1,0,0,0,0.0,1.0,0.0,0.0,76.10519036176179,2
260,236,340,364,1,0,0,0,0.0,1.0,0.0,0.0,68.11754546370561,2
260,244,340,356,1,0,0,0,0.0,1.0,0.0,0.0,60.13318551349163,2
260,252,340,348,1,0,0,0,0.0,1.0,0.0,0.0,52.15361924162119,2
260,260,340,340,1,0,0,0,0.0,1.0,0.0,0.0,44.181444068749045,2
260,268,340,332,1,0,0,0,0.0,1.0,0.0,0.0,36.22154055254967,2
260,276,340,324,0,0,1,0,0.0,1.0,0.0,0.0,365.60087527247526,2
268,284,332,316,0,0,1,0,,,,,354.400902933387,2
276,292,324,308,0,0,1,0,,,,,343.2083915058022,2
284,300,316,300,0,0,1,0,,,,,332.02409551115414,2
292,308,308,292,0,0,1,0,,,,,320.8488740824876,2
300,316,300,284,0,0,1,0,,,,,309.6837096135346,2
308,324,292,276,0,0,1,0,,,,,298.52973051272465,2
316,332,284,268,0,0,1,0,,,,,287.3882391469769,2
324,340,276,260,0,0,1,0,,,,,276.2607463973121,2
332,348,268,252,0,0,1,0,,,,,265.1490147068248,2
