wu,wr,wd,wl,au,ar,ad,al,bu,br,bd,bl,direction
300,300,300,300,,,,,,,,,0
292,292,308,308,,,,,,,,,0
284,284,316,316,,,,,,,,,0
276,276,324,324,,,,,,,,,2
284,268,316,332,,,,,,,,,2
292,260,308,340,,,,,,,,,2
300,252,300,348,,,,,,,,,2
308,252,292,348,,,,,1.0,0.0,0.0,0.0,2
316,252,284,348,,,,,1.0,0.0,0.0,0.0,2
324,252,276,348,,,,,1.0,0.0,0.0,0.0,2
332,252,268,348,,,,,1.0,0.0,0.0,0.0,2
340,252,260,348,,,,,1.0,0.0,0.0,0.0,2
348,252,252,348,,,,,1.0,0.0,0.0,0.0,2
356,252,244,348,,,,,1.0,0.0,0.0,0.0,2
364,252,236,348,,,,,1.0,0.0,0.0,0.0,2
372,252,228,348,,,,,1.0,0.0,0.0,0.0,2
380,252,220,348,,,,,1.0,0.0,0.0,0.0,2
388,252,212,348,,,,,1.0,0.0,0.0,0.0,2
396,252,204,348,,,,,1.0,0.0,0.0,0.0,2
404,252,196,348,,,,,1.0,0.0,0.0,0.0,2
412,252,188,348,,,,,1.0,0.0,0.0,0.0,2
420,252,180,348,,,,,1.0,0.0,0.0,0.0,2
428,252,172,348,,,,,1.0,0.0,0.0,0.0,2
436,252,164,348,,,,,1.0,0.0,0.0,0.0,2
444,252,156,348,,,,,1.0,0.0,0.0,0.0,2
452,252,148,348,,,,,1.0,0.0,0.0,0.0,2
460,252,140,348,,,,,1.0,0.0,0.0,0.0,2
468,252,132,348,,,,,1.0,0.0,0.0,0.0,2
476,252,124,348,,,,,1.0,0.0,0.0,0.0,2
484,252,116,348,,,,,1.0,0.0,0.0,0.0,2
492,252,108,348,,,,,1.0,0.0,0.0,0.0,2
500,252,100,348,,,,,1.0,0.0,0.0,0.0,2
508,252,92,348,,,,,1.0,0.0,0.0,0.0,2
516,252,84,348,,,,,1.0,0.0,0.0,0.0,0
508,244,92,356,,,,,0.0,0.0,0.0,1.0,0
500,236,100,364,,,,,,,,,0
492,228,108,372,,,,,,,,,0
484,220,116,380,,,,,,,,,3
476,220,124,380,,,,,0.0,0.0,1.0,0.0,3
468,220,132,380,,,,,0.0,0.0,1.0,0.0,3
460,220,140,380,,,,,0.0,0.0,1.0,0.0,3
452,220,148,380,,,,,0.0,0.0,1.0,0.0,3
444,220,156,380,,,,,0.0,0.0,1.0,0.0,3
436,220,164,380,,,,,0.0,0.0,1.0,0.0,3
428,220,172,380,,,,,0.0,0.0,1.0,0.0,3
420,220,180,380,,,,,0.0,0.0,1.0,0.0,3
412,220,188,380,,,,,0.0,0.0,1.0,0.0,3
404,220,196,380,,,,,0.0,0.0,1.0,0.0,3
396,220,204,380,,,,,0.0,0.0,1.0,0.0,3
388,220,212,380,,,,,0.0,0.0,1.0,0.0,3
380,220,220,380,,,,,0.0,0.0,1.0,0.0,3
372,220,228,380,,,,,0.0,0.0,1.0,0.0,3
364,220,236,380,,,,,0.0,0.0,1.0,0.0,3
356,220,244,380,,,,,0.0,0.0,1.0,0.0,3
348,220,252,380,,,,,0.0,0.0,1.0,0.0,3
340,220,260,380,,,,,0.0,0.0,1.0,0.0,3
332,220,268,380,,,,,0.0,0.0,1.0,0.0,3
324,220,276,380,,,,,0.0,0.0,1.0,0.0,3
316,220,284,380,,,,,0.0,0.0,1.0,0.0,3
308,220,292,380,,,,,0.0,0.0,1.0,0.0,3
300,220,300,380,,,,,0.0,0.0,1.0,0.0,3
292,220,308,380,,,,,0.0,0.0,1.0,0.0,3
284,220,316,380,,,,,0.0,0.0,1.0,0.0,3
276,220,324,380,,,,,0.0,0.0,1.0,0.0,3
268,220,332,380,,,,,0.0,0.0,1.0,0.0,3
260,220,340,380,,,,,0.0,0.0,1.0,0.0,3
252,220,348,380,,,,,0.0,0.0,1.0,0.0,3
244,220,356,380,,,,,0.0,0.0,1.0,0.0,3
236,220,364,380,,,,,0.0,0.0,1.0,0.0,3
228,220,372,380,,,,,0.0,0.0,1.0,0.0,3
220,220,380,380,,,,,0.0,0.0,1.0,0.0,3
212,220,388,380,,,,,0.0,0.0,1.0,0.0,3
204,220,396,380,,,,,0.0,0.0,1.0,0.0,3
196,220,404,380,,,,,0.0,0.0,1.0,0.0,3
188,220,412,380,,,,,0.0,0.0,1.0,0.0,3
180,220,420,380,,,,,0.0,0.0,1.0,0.0,3
172,220,428,380,,,,,0.0,0.0,1.0,0.0,3
164,220,436,380,,,,,0.0,0.0,1.0,0.0,3
156,220,444,380,,,,,0.0,0.0,1.0,0.0,3
148,220,452,380,,,,,0.0,0.0,1.0,0.0,3
140,220,460,380,,,,,0.0,0.0,1.0,0.0,3
132,220,468,380,,,,,0.0,0.0,1.0,0.0,3
124,220,476,380,,,,,0.0,0.0,1.0,0.0,3
116,228,484,372,,,,,,,,,3
108,236,492,364,,,,,,,,,3
100,244,500,356,,,,,,,,,3
92,252,508,348,,,,,,,,,2
92,260,508,340,,,,,0.0,1.0,0.0,0.0,2
100,268,500,332,,,,,0.0,1.0,0.0,0.0,2
108,276,492,324,,,,,,,,,2
116,284,484,316,,,,,,,,,2
124,292,476,308,,,,,,,,,2
132,300,468,300,,,,,,,,,2
140,308,460,292,,,,,,,,,2
148,316,452,284,,,,,,,,,2
156,324,444,276,,,,,,,,,2
164,332,436,268,,,,,,,,,2
172,340,428,260,,,,,,,,,2
180,332,420,268,,,,,1.0,0.0,0.0,0.0,2
188,324,412,276,,,,,1.0,0.0,0.0,0.0,2
196,316,404,284,,,,,,,,,2
204,308,396,292,,,,,,,,,2
212,300,388,300,,,,,,,,,2
220,300,380,300,,,,,1.0,0.0,0.0,0.0,2
228,300,372,300,,,,,1.0,0.0,0.0,0.0,2
236,300,364,300,,,,,1.0,0.0,0.0,0.0,2
244,300,356,300,,,,,1.0,0.0,0.0,0.0,2
252,300,348,300,,,,,1.0,0.0,0.0,0.0,2
